#PY	PYTONE	WG	YALE	GI	BPMF	GR	FR	TY
geng1	gēng	keng1,kêng1	keng1	geng1	ㄍㄥˉ	geng	keng1	geng1
geng2	géng	keng2,kêng2	keng2	geng2	ㄍㄥˊ	gerng	keng2	geng2
geng3	gěng	keng3,kêng3	keng3	geng3	ㄍㄥˇ	geeng	keng3	geng3
geng4	gèng	keng4,kêng4	keng4	geng4	ㄍㄥˋ	genq	keng4	geng4
gong,gong0,gong5	gong	kung,kung0,kung5	gung,gung0,gung5	gung,gung0,gung5	ㄍㄨㄥ˙,ㄍㄨㄥ	.gong	kong,kong0,kong5	gong
gong1	gōng	kung1	gung1	gung1	ㄍㄨㄥˉ	gong	kong1	gong1
gong2	góng	kung2	gung2	gung2	ㄍㄨㄥˊ	gorng	kong2	gong2
gong3	gǒng	kung3	gung3	gung3	ㄍㄨㄥˇ	goong	kong3	gong3
gong4	gòng	kung4	gung4	gung4	ㄍㄨㄥˋ	gonq	kong4	gong4
gou,gou0,gou5	gou	kou,kou0,kou5	gou,gou0,gou5	gou,gou0,gou5	ㄍㄡ˙,ㄍㄡ	.gou	keou,keou0,keou5	gou
gou1	gōu	kou1	gou1	gou1	ㄍㄡˉ	gou	keou1	gou1
gou2	góu	kou2	gou2	gou2	ㄍㄡˊ	gour	keou2	gou2
gou3	gǒu	kou3	gou3	gou3	ㄍㄡˇ	goou	keou3	gou3
gou4	gòu	kou4	gou4	gou4	ㄍㄡˋ	gow	keou4	gou4
gu,gu0,gu5	gu	ku,ku0,ku5	gu,gu0,gu5	gu,gu0,gu5	ㄍㄨ˙,ㄍㄨ	.gu	kou,kou0,kou5	gu
gu1	gū	ku1	gu1	gu1	ㄍㄨˉ	gu	kou1	gu1
gu2	gú	ku2	gu2	gu2	ㄍㄨˊ	gwu	kou2	gu2
gu3	gǔ	ku3	gu3	gu3	ㄍㄨˇ	guu	kou3	gu3
gu4	gù	ku4	gu4	gu4	ㄍㄨˋ	guh	kou4	gu4
gua,gua0,gua5	gua	kua,kua0,kua5	gwa,gwa0,gwa5	gua,gua0,gua5	ㄍㄨㄚ˙,ㄍㄨㄚ	.gua	koua,koua0,koua5	gua
gua1	guā	kua1	gwa1	gua1	ㄍㄨㄚˉ	gua	koua1	gua1
gua2	guá	kua2	gwa2	gua2	ㄍㄨㄚˊ	gwa	koua2	gua2
gua3	guǎ	kua3	gwa3	gua3	ㄍㄨㄚˇ	goa	koua3	gua3
gua4	guà	kua4	gwa4	gua4	ㄍㄨㄚˋ	guah	koua4	gua4
guai,guai0,guai5	guai	kuai,kuai0,kuai5	gwai,gwai0,gwai5	guai,guai0,guai5	ㄍㄨㄞ˙,ㄍㄨㄞ	.guai	kouai,kouai0,kouai5	guai
guai1	guāi	kuai1	gwai1	guai1	ㄍㄨㄞˉ	guai	kouai1	guai1
guai2	guái	kuai2	gwai2	guai2	ㄍㄨㄞˊ	gwai	kouai2	guai2
guai3	guǎi	kuai3	gwai3	guai3	ㄍㄨㄞˇ	goai	kouai3	guai3
guai4	guài	kuai4	gwai4	guai4	ㄍㄨㄞˋ	guay	kouai4	guai4
guan,guan0,guan5	guan	kuan,kuan0,kuan5	gwan,gwan0,gwan5	guan,guan0,guan5	ㄍㄨㄢ˙,ㄍㄨㄢ	.guan	kouan,kouan0,kouan5	guan
guan1	guān	kuan1	gwan1	guan1	ㄍㄨㄢˉ	guan	kouan1	guan1
guan2	guán	kuan2	gwan2	guan2	ㄍㄨㄢˊ	gwan	kouan2	guan2
guan3	guǎn	kuan3	gwan3	guan3	ㄍㄨㄢˇ	goan	kouan3	guan3
guan4	guàn	kuan4	gwan4	guan4	ㄍㄨㄢˋ	guann	kouan4	guan4
guang,guang0,guang5	guang	kuang,kuang0,kuang5	gwang,gwang0,gwang5	guang,guang0,guang5	ㄍㄨㄤ˙,ㄍㄨㄤ	.guang	kouang,kouang0,kouang5	guang
guang1	guāng	kuang1	gwang1	guang1	ㄍㄨㄤˉ	guang	kouang1	guang1
guang2	guáng	kuang2	gwang2	guang2	ㄍㄨㄤˊ	gwang	kouang2	guang2
guang3	guǎng	kuang3	gwang3	guang3	ㄍㄨㄤˇ	goang	kouang3	guang3
guang4	guàng	kuang4	gwang4	guang4	ㄍㄨㄤˋ	guanq	kouang4	guang4
gui,gui0,gui5	gui	kui,kui0,kui5	gwei,gwei0,gwei5	guei,guei0,guei5	ㄍㄨㄟ˙,ㄍㄨㄟ	.guei	koue,koue0,koue5	guei
gui1	guī	kui1	gwei1	guei1	ㄍㄨㄟˉ	guei	koue1	guei1
gui2	guí	kui2	gwei2	guei2	ㄍㄨㄟˊ	gwei	koue2	guei2
gui3	guǐ	kui3	gwei3	guei3	ㄍㄨㄟˇ	goei	koue3	guei3
gui4	guì	kui4	gwei4	guei4	ㄍㄨㄟˋ	guey	koue4	guei4
gun,gun0,gun5	gun	kun,kun0,kun5	gwun,gwun0,gwun5	guen,guen0,guen5	ㄍㄨㄣ˙,ㄍㄨㄣ	.guen	kouen,kouen0,kouen5	gun
gun1	gūn	kun1	gwun1	guen1	ㄍㄨㄣˉ	guen	kouen1	gun1
gun2	gún	kun2	gwun2	guen2	ㄍㄨㄣˊ	gwen	kouen2	gun2
gun3	gǔn	kun3	gwun3	guen3	ㄍㄨㄣˇ	goen	kouen3	gun3
gun4	gùn	kun4	gwun4	guen4	ㄍㄨㄣˋ	guenn	kouen4	gun4
guo,guo0,guo5	guo	kuo,kuo0,kuo5	gwo,gwo0,gwo5	guo,guo0,guo5	ㄍㄨㄛ˙,ㄍㄨㄛ	.guo	kouo,kouo0,kouo5	guo
guo1	guō	kuo1	gwo1	guo1	ㄍㄨㄛˉ	guo	kouo1	guo1
guo2	guó	kuo2	gwo2	guo2	ㄍㄨㄛˊ	gwo	kouo2	guo2
guo3	guǒ	kuo3	gwo3	guo3	ㄍㄨㄛˇ	guoo	kouo3	guo3
guo4	guò	kuo4	gwo4	guo4	ㄍㄨㄛˋ	guoh	kouo4	guo4
ha,ha0,ha5	ha	ha,ha0,ha5	ha,ha0,ha5	ha,ha0,ha5	ㄏㄚ˙,ㄏㄚ	.ha	ha,ha0,ha5	ha
ha1	hā	ha1	ha1	ha1	ㄏㄚˉ	ha	ha1	ha1
ha2	há	ha2	ha2	ha2	ㄏㄚˊ	har	ha2	ha2
ha3	hǎ	ha3	ha3	ha3	ㄏㄚˇ	haa	ha3	ha3
ha4	hà	ha4	ha4	ha4	ㄏㄚˋ	hah	ha4	ha4
hai,hai0,hai5	hai	hai,hai0,hai5	hai,hai0,hai5	hai,hai0,hai5	ㄏㄞ˙,ㄏㄞ	.hai	hai,hai0,hai5	hai
hai1	hāi	hai1	hai1	hai1	ㄏㄞˉ	hai	hai1	hai1
hai2	hái	hai2	hai2	hai2	ㄏㄞˊ	hair	hai2	hai2
hai3	hǎi	hai3	hai3	hai3	ㄏㄞˇ	hae	hai3	hai3
hai4	hài	hai4	hai4	hai4	ㄏㄞˋ	hay	hai4	hai4
han,han0,han5	han	han,han0,han5	han,han0,han5	han,han0,han5	ㄏㄢ˙,ㄏㄢ	.han	han,han0,han5	han
han1	hān	han1	han1	han1	ㄏㄢˉ	han	han1	han1
han2	hán	han2	han2	han2	ㄏㄢˊ	harn	han2	han2
han3	hǎn	han3	han3	han3	ㄏㄢˇ	haan	han3	han3
han4	hàn	han4	han4	han4	ㄏㄢˋ	hann	han4	han4
hang,hang0,hang5	hang	hang,hang0,hang5	hang,hang0,hang5	hang,hang0,hang5	ㄏㄤ˙,ㄏㄤ	.hang	hang,hang0,hang5	hang
hang1	hāng	hang1	hang1	hang1	ㄏㄤˉ	hang	hang1	hang1
hang2	háng	hang2	hang2	hang2	ㄏㄤˊ	harng	hang2	hang2
hang3	hǎng	hang3	hang3	hang3	ㄏㄤˇ	haang	hang3	hang3
hang4	hàng	hang4	hang4	hang4	ㄏㄤˋ	hanq	hang4	hang4
hao,hao0,hao5	hao	hao,hao0,hao5	hau,hau0,hau5	hau,hau0,hau5	ㄏㄠ˙,ㄏㄠ	.hau	hao,hao0,hao5	hao
hao1	hāo	hao1	hau1	hau1	ㄏㄠˉ	hau	hao1	hao1
hao2	háo	hao2	hau2	hau2	ㄏㄠˊ	haur	hao2	hao2
hao3	hǎo	hao3	hau3	hau3	ㄏㄠˇ	hao	hao3	hao3
hao4	hào	hao4	hau4	hau4	ㄏㄠˋ	haw	hao4	hao4
he,he0,he5	he	he,he0,he5,hê,hê0,hê5,ho,ho0,ho5	he,he0,he5	he,he0,he5	ㄏㄜ˙,ㄏㄜ	.he	ho,ho0,ho5	he
he1	hē	he1,hê1,ho1	he1	he1	ㄏㄜˉ	he	ho1	he1
he2	hé	he2,hê2,ho2	he2	he2	ㄏㄜˊ	her	ho2	he2
he3	hě	he3,hê3,ho3	he3	he3	ㄏㄜˇ	hee	ho3	he3
he4	hè	he4,hê4,ho4	he4	he4	ㄏㄜˋ	heh	ho4	he4
hei,hei0,hei5	hei	hei,hei0,hei5	hei,hei0,hei5	hei,hei0,hei5	ㄏㄟ˙,ㄏㄟ	.hei	hei,hei0,hei5	hei
hei1	hēi	hei1	hei1	hei1	ㄏㄟˉ	hei	hei1	hei1
hei2	héi	hei2	hei2	hei2	ㄏㄟˊ	heir	hei2	hei2
hei3	hěi	hei3	hei3	hei3	ㄏㄟˇ	heei	hei3	hei3
hei4	hèi	hei4	hei4	hei4	ㄏㄟˋ	hey	hei4	hei4
hen,hen0,hen5	hen	hen,hen0,hen5,hên,hên0,hên5	hen,hen0,hen5	hen,hen0,hen5	ㄏㄣ˙,ㄏㄣ	.hen	hen,hen0,hen5	hen
hen1	hēn	hen1,hên1	hen1	hen1	ㄏㄣˉ	hen	hen1	hen1
hen2	hén	hen2,hên2	hen2	hen2	ㄏㄣˊ	hern	hen2	hen2
hen3	hěn	hen3,hên3	hen3	hen3	ㄏㄣˇ	heen	hen3	hen3
hen4	hèn	hen4,hên4	hen4	hen4	ㄏㄣˋ	henn	hen4	hen4
heng,heng0,heng5	heng	heng,heng0,heng5,hêng,hêng0,hêng5	heng,heng0,heng5	heng,heng0,heng5	ㄏㄥ˙,ㄏㄥ	.heng	heng,heng0,heng5	heng
heng1	hēng	heng1,hêng1	heng1	heng1	ㄏㄥˉ	heng	heng1	heng1
heng2	héng	heng2,hêng2	heng2	heng2	ㄏㄥˊ	herng	heng2	heng2
heng3	hěng	heng3,hêng3	heng3	heng3	ㄏㄥˇ	heeng	heng3	heng3
heng4	hèng	heng4,hêng4	heng4	heng4	ㄏㄥˋ	henq	heng4	heng4
hong,hong0,hong5	hong	hung,hung0,hung5	hung,hung0,hung5	hung,hung0,hung5	ㄏㄨㄥ˙,ㄏㄨㄥ	.hong	hong,hong0,hong5	hong
hong1	hōng	hung1	hung1	hung1	ㄏㄨㄥˉ	hong	hong1	hong1
hong2	hóng	hung2	hung2	hung2	ㄏㄨㄥˊ	horng	hong2	hong2
hong3	hǒng	hung3	hung3	hung3	ㄏㄨㄥˇ	hoong	hong3	hong3
hong4	hòng	hung4	hung4	hung4	ㄏㄨㄥˋ	honq	hong4	hong4
hou,hou0,hou5	hou	hou,hou0,hou5	hou,hou0,hou5	hou,hou0,hou5	ㄏㄡ˙,ㄏㄡ	.hou	heou,heou0,heou5	hou
hou1	hōu	hou1	hou1	hou1	ㄏㄡˉ	hou	heou1	hou1
hou2	hóu	hou2	hou2	hou2	ㄏㄡˊ	hour	heou2	hou2
hou3	hǒu	hou3	hou3	hou3	ㄏㄡˇ	hoou	heou3	hou3
hou4	hòu	hou4	hou4	hou4	ㄏㄡˋ	how	heou4	hou4
hu,hu0,hu5	hu	hu,hu0,hu5	hu,hu0,hu5	hu,hu0,hu5	ㄏㄨ˙,ㄏㄨ	.hu	hou,hou0,hou5	hu
hu1	hū	hu1	hu1	hu1	ㄏㄨˉ	hu	hou1	hu1
hu2	hú	hu2	hu2	hu2	ㄏㄨˊ	hwu	hou2	hu2
hu3	hǔ	hu3	hu3	hu3	ㄏㄨˇ	huu	hou3	hu3
hu4	hù	hu4	hu4	hu4	ㄏㄨˋ	huh	hou4	hu4
hua,hua0,hua5	hua	hua,hua0,hua5	hwa,hwa0,hwa5	hua,hua0,hua5	ㄏㄨㄚ˙,ㄏㄨㄚ	.hua	houa,houa0,houa5	hua
hua1	huā	hua1	hwa1	hua1	ㄏㄨㄚˉ	hua	houa1	hua1
hua2	huá	hua2	hwa2	hua2	ㄏㄨㄚˊ	hwa	houa2	hua2
hua3	huǎ	hua3	hwa3	hua3	ㄏㄨㄚˇ	hoa	houa3	hua3
hua4	huà	hua4	hwa4	hua4	ㄏㄨㄚˋ	huah	houa4	hua4
huai,huai0,huai5	huai	huai,huai0,huai5	hwai,hwai0,hwai5	huai,huai0,huai5	ㄏㄨㄞ˙,ㄏㄨㄞ	.huai	houai,houai0,houai5	huai
huai1	huāi	huai1	hwai1	huai1	ㄏㄨㄞˉ	huai	houai1	huai1
huai2	huái	huai2	hwai2	huai2	ㄏㄨㄞˊ	hwai	houai2	huai2
huai3	huǎi	huai3	hwai3	huai3	ㄏㄨㄞˇ	hoai	houai3	huai3
huai4	huài	huai4	hwai4	huai4	ㄏㄨㄞˋ	huay	houai4	huai4
huan,huan0,huan5	huan	huan,huan0,huan5	hwan,hwan0,hwan5	huan,huan0,huan5	ㄏㄨㄢ˙,ㄏㄨㄢ	.huan	houan,houan0,houan5	huan
huan1	huān	huan1	hwan1	huan1	ㄏㄨㄢˉ	huan	houan1	huan1
huan2	huán	huan2	hwan2	huan2	ㄏㄨㄢˊ	hwan	houan2	huan2
huan3	huǎn	huan3	hwan3	huan3	ㄏㄨㄢˇ	hoan	houan3	huan3
huan4	huàn	huan4	hwan4	huan4	ㄏㄨㄢˋ	huann	houan4	huan4
huang,huang0,huang5	huang	huang,huang0,huang5	hwang,hwang0,hwang5	huang,huang0,huang5	ㄏㄨㄤ˙,ㄏㄨㄤ	.huang	houang,houang0,houang5	huang
huang1	huāng	huang1	hwang1	huang1	ㄏㄨㄤˉ	huang	houang1	huang1
huang2	huáng	huang2	hwang2	huang2	ㄏㄨㄤˊ	hwang	houang2	huang2
huang3	huǎng	huang3	hwang3	huang3	ㄏㄨㄤˇ	hoang	houang3	huang3
huang4	huàng	huang4	hwang4	huang4	ㄏㄨㄤˋ	huanq	houang4	huang4
hui,hui0,hui5	hui	hui,hui0,hui5	hwei,hwei0,hwei5	huei,huei0,huei5	ㄏㄨㄟ˙,ㄏㄨㄟ	.huei	houei,houei0,houei5	huei
hui1	huī	hui1	hwei1	huei1	ㄏㄨㄟˉ	huei	houei1	huei1
hui2	huí	hui2	hwei2	huei2	ㄏㄨㄟˊ	hwei	houei2	huei2
hui3	huǐ	hui3	hwei3	huei3	ㄏㄨㄟˇ	hoei	houei3	huei3
hui4	huì	hui4	hwei4	huei4	ㄏㄨㄟˋ	huey	houei4	huei4
hun,hun0,hun5	hun	hun,hun0,hun5	hwun,hwun0,hwun5	huen,huen0,huen5	ㄏㄨㄣ˙,ㄏㄨㄣ	.huen	houen,houen0,houen5	hun
hun1	hūn	hun1	hwun1	huen1	ㄏㄨㄣˉ	huen	houen1	hun1
hun2	hún	hun2	hwun2	huen2	ㄏㄨㄣˊ	hwen	houen2	hun2
hun3	hǔn	hun3	hwun3	huen3	ㄏㄨㄣˇ	hoen	houen3	hun3
hun4	hùn	hun4	hwun4	huen4	ㄏㄨㄣˋ	huenn	houen4	hun4
huo,huo0,huo5	huo	huo,huo0,huo5	hwo,hwo0,hwo5	huo,huo0,huo5	ㄏㄨㄛ˙,ㄏㄨㄛ	.huo	houo,houo0,houo5	huo
huo1	huō	huo1	hwo1	huo1	ㄏㄨㄛˉ	huo	houo1	huo1
huo2	huó	huo2	hwo2	huo2	ㄏㄨㄛˊ	hwo	houo2	huo2
huo3	huǒ	huo3	hwo3	huo3	ㄏㄨㄛˇ	huoo	houo3	huo3
huo4	huò	huo4	hwo4	huo4	ㄏㄨㄛˋ	huoh	houo4	huo4
ji,ji0,ji5	ji	chi,chi0,chi5	ji,ji0,ji5	ji,ji0,ji5	ㄐ一˙,ㄐ一	.ji	ki,ki0,ki5,tsi,tsi0,tsi5	ji
ji1	jī	chi1	ji1	ji1	ㄐ一ˉ	ji	ki1,tsi1	ji1
ji2	jí	chi2	ji2	ji2	ㄐ一ˊ	jyi	ki2,tsi2	ji2
ji3	jǐ	chi3	ji3	ji3	ㄐ一ˇ	jii	ki3,tsi3	ji3
ji4	jì	chi4	ji4	ji4	ㄐ一ˋ	jih	ki4,tsi4	ji4
jia,jia0,jia5	jia	chia,chia0,chia5	jya,jya0,jya5	jia,jia0,jia5	ㄐ一ㄚ˙,ㄐ一ㄚ	.jia	kia,kia0,kia5	jia
jia1	jiā	chia1	jya1	jia1	ㄐ一ㄚˉ	jia	kia1	jia1
jia2	jiá	chia2	jya2	jia2	ㄐ一ㄚˊ	jya	kia2	jia2
jia3	jiǎ	chia3	jya3	jia3	ㄐ一ㄚˇ	jea	kia3	jia3
jia4	jià	chia4	jya4	jia4	ㄐ一ㄚˋ	jiah	kia4	jia4
jian,jian0,jian5	jian	chien,chien0,chien5	jyan,jyan0,jyan5	jian,jian0,jian5	ㄐ一ㄢ˙,ㄐ一ㄢ	.jian	kien,kien0,kien5,tsien,tsien0,tsien5	jian
jian1	jiān	chien1	jyan1	jian1	ㄐ一ㄢˉ	jian	kien1,tsien1	jian1
jian2	jián	chien2	jyan2	jian2	ㄐ一ㄢˊ	jyan	kien2,tsien2	jian2
jian3	jiǎn	chien3	jyan3	jian3	ㄐ一ㄢˇ	jean	kien3,tsien3	jian3
jian4	jiàn	chien4	jyan4	jian4	ㄐ一ㄢˋ	jiann	kien4,tsien4	jian4
jiang,jiang0,jiang5	jiang	chiang,chiang0,chiang5	jyang,jyang0,jyang5	jiang,jiang0,jiang5	ㄐ一ㄤ˙,ㄐ一ㄤ	.jiang	kiang,kiang0,kiang5,tsiang,tsiang0,tsiang5	jiang
jiang1	jiāng	chiang1	jyang1	jiang1	ㄐ一ㄤˉ	jiang	kiang1,tsiang1	jiang1
jiang2	jiáng	chiang2	jyang2	jiang2	ㄐ一ㄤˊ	jyang	kiang2,tsiang2	jiang2
jiang3	jiǎng	chiang3	jyang3	jiang3	ㄐ一ㄤˇ	jeang	kiang3,tsiang3	jiang3
jiang4	jiàng	chiang4	jyang4	jiang4	ㄐ一ㄤˋ	jianq	kiang4,tsiang4	jiang4
jiao,jiao0,jiao5	jiao	chiao,chiao0,chiao5	jyau,jyau0,jyau5	jiau,jiau0,jiau5	ㄐ一ㄠ˙,ㄐ一ㄠ	.jiau	kiao,kiao0,kiao5,tsiao,tsiao0,tsiao5	jiao
jiao1	jiāo	chiao1	jyau1	jiau1	ㄐ一ㄠˉ	jiau	kiao1,tsiao1	jiao1
jiao2	jiáo	chiao2	jyau2	jiau2	ㄐ一ㄠˊ	jyau	kiao2,tsiao2	jiao2
jiao3	jiǎo	chiao3	jyau3	jiau3	ㄐ一ㄠˇ	jeau	kiao3,tsiao3	jiao3
jiao4	jiào	chiao4	jyau4	jiau4	ㄐ一ㄠˋ	jiaw	kiao4,tsiao4	jiao4
jie,jie0,jie5	jie	chieh,chieh0,chieh5	jye,jye0,jye5	jie,jie0,jie5	ㄐ一ㄝ˙,ㄐ一ㄝ	.jie	kie,kie0,kie5,tsie,tsie0,tsie5,kiai,kiai0,kiai5	jie
jie1	jiē	chieh1	jye1	jie1	ㄐ一ㄝˉ	jie	kie1,tsie1,kiai1	jie1
jie2	jié	chieh2	jye2	jie2	ㄐ一ㄝˊ	jye	kie2,tsie2,kiai2	jie2
jie3	jiě	chieh3	jye3	jie3	ㄐ一ㄝˇ	jiee	kie3,tsie3,kiai3	jie3
jie4	jiè	chieh4	jye4	jie4	ㄐ一ㄝˋ	jieh	kie4,tsie4,kiai4	jie4
jin,jin0,jin5	jin	chin,chin0,chin5	jin,jin0,jin5	jin,jin0,jin5	ㄐ一ㄣ˙,ㄐ一ㄣ	.jin	kin,kin0,kin5,tsin,tsin0,tsin5	jin
jin1	jīn	chin1	jin1	jin1	ㄐ一ㄣˉ	jin	kin1,tsin1	jin1
jin2	jín	chin2	jin2	jin2	ㄐ一ㄣˊ	jyn	kin2,tsin2	jin2
jin3	jǐn	chin3	jin3	jin3	ㄐ一ㄣˇ	jiin	kin3,tsin3	jin3
jin4	jìn	chin4	jin4	jin4	ㄐ一ㄣˋ	jinn	kin4,tsin4	jin4
jing,jing0,jing5	jing	ching,ching0,ching5	jing,jing0,jing5	jing,jing0,jing5	ㄐ一ㄥ˙,ㄐ一ㄥ	.jing	king,king0,king5,tsing,tsing0,tsing5	jing
jing1	jīng	ching1	jing1	jing1	ㄐ一ㄥˉ	jing	king1,tsing1	jing1
jing2	jíng	ching2	jing2	jing2	ㄐ一ㄥˊ	jyng	king2,tsing2	jing2
jing3	jǐng	ching3	jing3	jing3	ㄐ一ㄥˇ	jiing	king3,tsing3	jing3
jing4	jìng	ching4	jing4	jing4	ㄐ一ㄥˋ	jinq	king4,tsing4	jing4
jiong,jiong0,jiong5	jiong	chiung,chiung0,chiung5	jyung,jyung0,jyung5	jiung,jiung0,jiung5	ㄐㄩㄥ˙,ㄐㄩㄥ	.jiong	kiong,kiong0,kiong5	jyong
jiong1	jiōng	chiung1	jyung1	jiung1	ㄐㄩㄥˉ	jiong	kiong1	jyong1
jiong2	jióng	chiung2	jyung2	jiung2	ㄐㄩㄥˊ	jyong	kiong2	jyong2
jiong3	jiǒng	chiung3	jyung3	jiung3	ㄐㄩㄥˇ	jeong	kiong3	jyong3
jiong4	jiòng	chiung4	jyung4	jiung4	ㄐㄩㄥˋ	jionq	kiong4	jyong4
jiu,jiu0,jiu5	jiu	chiu,chiu0,chiu5	jyou,jyou0,jyou5	jiou,jiou0,jiou5	ㄐ一ㄡ˙,ㄐ一ㄡ	.jiou	kieou,kieou0,kieou5,tsieou,tsieou0,tsieou5	jiou
jiu1	jiū	chiu1	jyou1	jiou1	ㄐ一ㄡˉ	jiou	kieou1,tsieou1	jiou1
jiu2	jiú	chiu2	jyou2	jiou2	ㄐ一ㄡˊ	jyou	kieou2,tsieou2	jiou2
jiu3	jiǔ	chiu3	jyou3	jiou3	ㄐ一ㄡˇ	jeou	kieou3,tsieou3	jiou3
jiu4	jiù	chiu4	jyou4	jiou4	ㄐ一ㄡˋ	jiow	kieou4,tsieou4	jiou4
ju,ju0,ju5	ju	chü,chü0,chü5,chu:,chu:0,chu:5	jyu,jyu0,jyu5	jiu,jiu0,jiu5	ㄐㄩ˙,ㄐㄩ	.jiu	kiu,tsiu,kiu0,tsiu0,kiu5,tsiu5	jyu
ju1	jū	chü1,chu:1	jyu1	jiu1	ㄐㄩˉ	jiu	kiu1,tsiu1	jyu1
ju2	jú	chü2,chu:2	jyu2	jiu2	ㄐㄩˊ	jyu	kiu2,tsiu2	jyu2
ju3	jǔ	chü3,chu:3	jyu3	jiu3	ㄐㄩˇ	jeu	kiu3,tsiu3	jyu3
ju4	jù	chü4,chu:4	jyu4	jiu4	ㄐㄩˋ	jiuh	kiu4,tsiu4	jyu4
juan,juan0,juan5	juan	chüan,chüan0,chüan5,chu:an,chu:an0,chu:an5	jywan,jywan0,jywan5	jiuan,jiuan0,jiuan5	ㄐㄩㄢ˙,ㄐㄩㄢ	.jiuan	tchouan,tchouan0,tchouan5	jyuan
juan1	juān	chüan1,chu:an1	jywan1	jiuan1	ㄐㄩㄢˉ	jiuan	tchouan1	jyuan1
juan2	juán	chüan2,chu:an2	jywan2	jiuan2	ㄐㄩㄢˊ	jyuan	tchouan2	jyuan2
juan3	juǎn	chüan3,chu:an3	jywan3	jiuan3	ㄐㄩㄢˇ	jeuan	tchouan3	jyuan3
juan4	juàn	chüan4,chu:an4	jywan4	jiuan4	ㄐㄩㄢˋ	jiuann	tchouan4	jyuan4
jue,jue0,jue5	jue	chüeh,chüeh0,chüeh5,chu:eh,chu:eh0,chu:eh5	jywe,jywe0,jywe5	jiue,jiue0,jiue5	ㄐㄩㄝ˙,ㄐㄩㄝ	.jiue	kio,kio0,kio5,kiue,kiue0,kiue5	jyue
jue1	juē	chüeh1,chu:eh1	jywe1	jiue1	ㄐㄩㄝˉ	jiue	kio1,kiue1	jyue1
jue2	jué	chüeh2,chu:eh2	jywe2	jiue2	ㄐㄩㄝˊ	jyue	kio2,kiue2	jyue2
jue3	juě	chüeh3,chu:eh3	jywe3	jiue3	ㄐㄩㄝˇ	jeue	kio3,kiue3	jyue3
jue4	juè	chüeh4,chu:eh4	jywe4	jiue4	ㄐㄩㄝˋ	jiueh	kio4,kiue4	jyue4
jun,jun0,jun5	jun	chün,chün0,chün5,chu:n,chu:n0,chu:n5	jyun,jyun0,jyun5	jiun,jiun0,jiun5	ㄐㄩㄣ˙,ㄐㄩㄣ	.jiun	kiun,kiun0,kiun5,tsiun,tsiun0,tsiun5	jyun
jun1	jūn	chün1,chu:n1	jyun1	jiun1	ㄐㄩㄣˉ	jiun	kiun1,tsiun1	jyun1
jun2	jún	chün2,chu:n2	jyun2	jiun2	ㄐㄩㄣˊ	jyun	kiun2,tsiun2	jyun2
jun3	jǔn	chün3,chu:n3	jyun3	jiun3	ㄐㄩㄣˇ	jeun	kiun3,tsiun3	jyun3
jun4	jùn	chün4,chu:n4	jyun4	jiun4	ㄐㄩㄣˋ	jiunn	kiun4,tsiun4	jyun4
ka,ka0,ka5	ka	k'a,k'a0,k'a5	ka,ka0,ka5	ka,ka0,ka5	ㄎㄚ˙,ㄎㄚ	.ka	k'a,k'a0,k'a5	ka
ka1	kā	k'a1	ka1	ka1	ㄎㄚˉ	ka	k'a1	ka1
ka2	ká	k'a2	ka2	ka2	ㄎㄚˊ	kar	k'a2	ka2
ka3	kǎ	k'a3	ka3	ka3	ㄎㄚˇ	kaa	k'a3	ka3
ka4	kà	k'a4	ka4	ka4	ㄎㄚˋ	kah	k'a4	ka4
kai,kai0,kai5	kai	k'ai,k'ai0,k'ai5	kai,kai0,kai5	kai,kai0,kai5	ㄎㄞ˙,ㄎㄞ	.kai	k'ai,k'ai0,k'ai5	kai
kai1	kāi	k'ai1	kai1	kai1	ㄎㄞˉ	kai	k'ai1	kai1
kai2	kái	k'ai2	kai2	kai2	ㄎㄞˊ	kair	k'ai2	kai2
kai3	kǎi	k'ai3	kai3	kai3	ㄎㄞˇ	kae	k'ai3	kai3
kai4	kài	k'ai4	kai4	kai4	ㄎㄞˋ	kay	k'ai4	kai4
kan,kan0,kan5	kan	k'an,k'an0,k'an5	kan,kan0,kan5	kan,kan0,kan5	ㄎㄢ˙,ㄎㄢ	.kan	k'an,k'an0,k'an5	kan
kan1	kān	k'an1	kan1	kan1	ㄎㄢˉ	kan	k'an1	kan1
kan2	kán	k'an2	kan2	kan2	ㄎㄢˊ	karn	k'an2	kan2
kan3	kǎn	k'an3	kan3	kan3	ㄎㄢˇ	kaan	k'an3	kan3
kan4	kàn	k'an4	kan4	kan4	ㄎㄢˋ	kann	k'an4	kan4
kang,kang0,kang5	kang	k'ang,k'ang0,k'ang5	kang,kang0,kang5	kang,kang0,kang5	ㄎㄤ˙,ㄎㄤ	.kang	k'ang,k'ang0,k'ang5	kang
kang1	kāng	k'ang1	kang1	kang1	ㄎㄤˉ	kang	k'ang1	kang1
kang2	káng	k'ang2	kang2	kang2	ㄎㄤˊ	karng	k'ang2	kang2
kang3	kǎng	k'ang3	kang3	kang3	ㄎㄤˇ	kaang	k'ang3	kang3
kang4	kàng	k'ang4	kang4	kang4	ㄎㄤˋ	kanq	k'ang4	kang4
kao,kao0,kao5	kao	k'ao,k'ao0,k'ao5	kau,kau0,kau5	kau,kau0,kau5	ㄎㄠ˙,ㄎㄠ	.kau	k'ao,k'ao0,k'ao5	kao
